round,domain_idx,rsum_i,n_fold_i2t_r1,n_fold_t2i_r1,i2t_r1,t2i_r1,n_fold_i2t_r5,n_fold_t2i_r5,i2t_r5,t2i_r5
13,1,258.17391304347825,80.0,76.0,45.06688963210702,57.10702341137124,100.0,98.0,80.01672240802675,87.04013377926421
13,2,200.2946175637394,62.0,56.0,36.61473087818697,45.67988668555241,96.0,90.0,67.84702549575071,76.98300283286119
13,3,237.91842475386778,76.0,84.0,32.9817158931083,44.936708860759495,94.0,98.0,65.40084388185655,83.0520393811533
13,4,218.66999002991025,72.0,70.0,37.986041874376866,38.6839481555334,96.0,90.0,71.78464606181456,77.26819541375872
14,0,254.95973705834018,80.0,78.0,44.53574363188168,52.4239934264585,100.0,94.0,81.51191454396056,88.5784716516023
14,1,259.5953177257525,80.0,76.0,45.903010033444815,57.69230769230769,100.0,98.0,79.93311036789298,86.95652173913044
14,2,200.3654390934844,62.0,56.0,37.39376770538244,44.97167138810198,96.0,90.0,67.98866855524079,76.77053824362606
14,3,236.8635724331927,76.0,84.0,32.20815752461322,44.655414908579466,94.0,98.0,64.9789029535865,82.63009845288326
14,4,226.16550348953143,74.0,74.0,38.185443668993024,39.980059820538386,96.0,90.0,71.48554336989032,76.9690927218345
15,0,251.80936729663108,78.0,78.0,44.207066557107645,51.60230073952342,100.0,94.0,81.75842235004109,88.33196384552177
15,1,260.59197324414714,82.0,76.0,45.5685618729097,57.02341137123746,100.0,98.0,80.18394648829431,87.20735785953177
15,2,201.356940509915,62.0,56.0,37.39376770538244,45.963172804532576,96.0,92.0,68.13031161473087,76.98300283286119
15,3,237.35583684950774,76.0,84.0,32.77074542897328,44.58509142053446,94.0,98.0,65.40084388185655,82.77074542897327
15,4,222.9690927218345,74.0,72.0,37.587238285144565,39.38185443668993,96.0,90.0,71.68494516450649,77.46759720837487
16,0,251.48069022185703,78.0,78.0,43.87838948233361,51.60230073952342,100.0,94.0,81.67625308134758,88.74281018898932
