round,client_id,domain_idx,rsum_i,n_fold_i2t_r1,n_fold_t2i_r1,i2t_r1,t2i_r1,n_fold_i2t_r5,n_fold_t2i_r5,i2t_r5,t2i_r5
0,13,4,34.860518444666,10.7,11.0,5.383848454636092,7.7766699900299106,34.9,39.1,29.71086739780658,40.77766699900299
0,14,0,39.14638641197575,11.358024691358024,9.218106995884773,9.860312243221035,8.709942481511915,40.98765432098765,32.26337448559671,42.56368118323747,29.33442892358258
0,14,1,39.0629854046263,9.539748953974897,9.790794979079497,8.444816053511706,11.2876254180602,30.711297071129714,31.548117154811717,36.87290969899666,30.267558528428093
0,14,2,40.68139352661081,12.836879432624112,8.22695035460993,9.277620396600566,10.339943342776204,43.40425531914893,35.46099290780142,37.32294617563739,33.35694050991501
0,14,3,44.896297616925175,9.788732394366196,11.47887323943662,11.040787623066104,12.587904360056259,35.49295774647887,43.16901408450704,22.78481012658228,40.92827004219409
0,14,4,45.03748753738783,10.1,14.1,11.665004985044865,9.172482552342972,34.0,44.1,31.206380857427718,46.85942173479561
1,10,0,38.48565081104112,9.7119341563786,8.806584362139919,11.175020542317174,8.792111750205423,27.07818930041152,35.80246913580247,24.404272801972063,36.318816762530815
1,10,1,42.326023985110766,10.292887029288703,11.631799163179917,9.280936454849499,11.120401337792643,35.81589958158996,38.49372384937239,35.953177257525084,33.862876254180605
1,10,2,37.28437104454222,11.27659574468085,11.48936170212766,10.410764872521247,4.1076487252124645,25.035460992907804,39.00709219858156,25.35410764872521,45.75070821529745
1,10,3,43.49081832768764,11.056338028169012,10.91549295774648,10.618846694796062,10.90014064697609,39.3661971830986,38.66197183098591,40.365682137834035,37.90436005625879
1,10,4,38.145862412761716,10.8,9.3,10.269192422731805,7.7766699900299106,37.3,41.5,33.39980059820538,37.28813559322034
1,11,0,42.51478539618775,9.465020576131687,10.781893004115226,10.435497124075596,11.832374691865242,37.44855967078189,37.11934156378601,34.18241577649959,33.278553820871
1,11,1,38.31208631281399,11.966527196652718,9.288702928870293,8.277591973244148,8.779264214046822,28.619246861924687,38.744769874476994,29.180602006688964,38.96321070234114
1,11,2,41.393325698671966,11.489361702127658,12.198581560283689,9.206798866855523,8.498583569405099,37.5886524822695,46.38297872340426,42.422096317280456,46.24645892351275
1,11,3,43.70277926348527,11.971830985915494,10.704225352112676,11.040787623066104,9.985935302390999,38.87323943661972,41.12676056338028,31.364275668073137,39.80309423347398
1,11,4,45.52671984047856,7.4,13.7,7.178464606181455,17.24825523429711,16.9,40.8,7.976071784646062,50.04985044865404
1,12,0,36.842265437170944,10.205761316872428,8.31275720164609,10.271158586688578,8.052588331963845,37.11934156378601,33.991769547325106,38.29087921117502,29.498767460969596
1,12,1,39.312911937980154,9.12133891213389,9.12133891213389,9.698996655518394,11.37123745819398,40.669456066945614,38.828451882845194,46.23745819397993,37.207357859531776
1,12,2,34.232816989130654,10.425531914893616,7.9432624113475185,10.056657223796034,5.807365439093484,32.5531914893617,35.88652482269504,36.89801699716714,32.71954674220963
1,12,3,51.44103722192508,12.3943661971831,12.183098591549296,12.09563994374121,14.767932489451477,41.47887323943662,38.098591549295776,36.70886075949367,38.9592123769339
1,12,4,42.04436689930209,12.6,10.9,8.873379860418744,9.67098703888335,41.5,38.2,42.3728813559322,41.874376869391824
