round,domain_idx,rsum_i,n_fold_i2t_r1,n_fold_t2i_r1,i2t_r1,t2i_r1,n_fold_i2t_r5,n_fold_t2i_r5,i2t_r5,t2i_r5
3,3,61.83122362869198,22.0,20.0,8.860759493670885,10.970464135021096,76.0,80.0,48.66385372714487,34.036568213783404
3,4,54.2333000997009,14.0,18.0,11.964107676969093,10.269192422731805,68.0,70.0,18.64406779661017,32.901296111665005
4,0,54.8430566967954,16.0,16.0,12.57189811010682,10.271158586688578,72.0,72.0,23.007395234182415,42.31717337715694
4,1,55.06354515050167,20.0,16.0,10.033444816053512,9.03010033444816,66.0,72.0,19.648829431438127,30.016722408026755
4,2,70.8583569405099,20.0,26.0,10.339943342776204,14.51841359773371,66.0,80.0,50.07082152974504,44.05099150141643
4,3,65.41772151898735,22.0,20.0,12.447257383966244,10.970464135021096,76.0,76.0,44.37412095639944,34.036568213783404
4,4,60.731804586241275,14.0,24.0,12.46261216350947,10.269192422731805,66.0,68.0,32.60219341974078,32.901296111665005
5,0,62.54231717337716,24.0,18.0,10.271158586688578,10.271158586688578,74.0,64.0,31.470829909613805,35.99013968775678
5,1,56.56187290969899,16.0,22.0,9.531772575250836,9.03010033444816,62.0,68.0,35.45150501672241,11.120401337792643
5,2,68.48725212464589,24.0,18.0,17.847025495750707,8.640226628895185,62.0,72.0,55.38243626062323,35.48158640226629
5,3,63.729957805907176,22.0,20.0,12.09563994374121,9.634317862165963,74.0,70.0,34.458509142053444,42.05344585091421
5,4,44.62612163509472,8.0,12.0,11.266201395812562,13.359920239282154,62.0,68.0,16.550348953140578,39.780658025922236
6,0,62.62448644207067,22.0,20.0,10.353327855382087,10.271158586688578,64.0,70.0,41.166803615447826,41.166803615447826
6,1,59.070234113712374,20.0,18.0,12.040133779264215,9.03010033444816,60.0,74.0,28.42809364548495,19.648829431438127
6,2,75.03682719546742,24.0,22.0,14.51841359773371,14.51841359773371,78.0,68.0,47.30878186968839,31.019830028328613
6,3,62.74542897327707,18.0,24.0,9.563994374120956,11.181434599156118,68.0,66.0,34.24753867791843,33.895921237693386
6,4,49.34795613160518,10.0,22.0,8.075772681954138,9.272183449651047,76.0,70.0,8.175473579262214,31.306081754735793
7,0,60.65242399342646,22.0,20.0,8.38126540673788,10.271158586688578,58.0,70.0,31.79950698438784,41.166803615447826
7,1,54.81939799331104,18.0,16.0,11.789297658862877,9.03010033444816,56.0,68.0,28.093645484949832,29.682274247491637
7,2,73.03682719546742,22.0,22.0,14.51841359773371,14.51841359773371,72.0,76.0,63.668555240793204,54.390934844192635
7,3,63.20675105485232,18.0,22.0,12.025316455696203,11.181434599156118,74.0,70.0,33.05203938115331,33.895921237693386
7,4,55.43569292123629,10.0,24.0,8.075772681954138,13.359920239282154,80.0,70.0,30.109670987038882,40.97706879361914
8,0,63.28184059161874,22.0,20.0,11.010682004930157,10.271158586688578,62.0,68.0,21.03533278553821,40.920295809367296
8,1,49.55852842809365,16.0,16.0,8.528428093645484,9.03010033444816,62.0,70.0,23.327759197324415,37.123745819397996
8,2,76.89518413597733,24.0,24.0,14.376770538243626,14.51841359773371,70.0,80.0,55.6657223796034,44.05099150141643
8,3,59.44866385372715,18.0,20.0,10.267229254571026,11.181434599156118,70.0,72.0,43.319268635724335,33.895921237693386
8,4,58.81954137587238,10.0,22.0,13.45962113659023,13.359920239282154,70.0,70.0,49.85044865403788,40.97706879361914
9,0,64.87099424815119,22.0,22.0,10.599835661462613,10.271158586688578,64.0,68.0,20.87099424815119,41.166803615447826
9,1,47.80936454849498,18.0,12.0,7.775919732441472,10.033444816053512,64.0,66.0,27.25752508361204,38.04347826086956
9,2,77.03682719546742,22.0,26.0,14.51841359773371,14.51841359773371,70.0,78.0,55.02832861189802,44.05099150141643
9,3,56.31504922644163,18.0,22.0,7.454289732770746,8.860759493670885,68.0,78.0,46.835443037974684,20.042194092827003
9,4,61.81655034895314,10.0,24.0,14.456630109670987,13.359920239282154,70.0,72.0,44.16749750747757,40.97706879361914
10,0,64.87099424815119,22.0,22.0,10.599835661462613,10.271158586688578,64.0,64.0,28.594905505341004,41.166803615447826
10,1,52.735785953177256,20.0,12.0,10.702341137123746,10.033444816053512,64.0,66.0,24.91638795986622,29.51505016722408
10,2,75.54957507082153,22.0,26.0,14.51841359773371,13.031161473087819,72.0,78.0,54.74504249291785,44.05099150141643
10,3,59.54992967651195,18.0,22.0,10.68917018284107,8.860759493670885,70.0,74.0,30.09845288326301,26.652601969057667
10,4,61.62911266201396,16.0,22.0,10.269192422731805,13.359920239282154,64.0,72.0,33.00099700897308,32.901296111665005
11,0,70.87099424815119,28.0,22.0,10.599835661462613,10.271158586688578,64.0,64.0,43.549712407559575,30.813475760065735
11,1,54.06688963210702,20.0,14.0,10.033444816053512,10.033444816053512,60.0,64.0,19.31438127090301,29.51505016722408
11,2,75.54957507082153,24.0,24.0,14.51841359773371,13.031161473087819,72.0,76.0,60.3399433427762,52.69121813031161
11,3,59.83122362869198,18.0,22.0,10.970464135021096,8.860759493670885,70.0,74.0,28.270042194092827,26.652601969057667
11,4,67.22432701894317,18.0,24.0,11.864406779661017,13.359920239282154,62.0,72.0,38.2851445663011,38.88334995014955
12,0,67.19967132292523,26.0,20.0,10.928512736236648,10.271158586688578,64.0,66.0,41.65981922760887,41.166803615447826
12,1,49.98327759197324,18.0,12.0,10.033444816053512,9.949832775919733,66.0,64.0,18.645484949832777,29.51505016722408
12,2,73.54957507082153,26.0,20.0,14.51841359773371,13.031161473087819,68.0,78.0,63.88101983002833,44.05099150141643
12,3,61.87060478199719,18.0,22.0,13.009845288326302,8.860759493670885,58.0,76.0,18.28410689170183,32.48945147679325
12,4,65.22432701894317,16.0,24.0,11.864406779661017,13.359920239282154,64.0,68.0,28.614157527417746,38.88334995014955
13,0,66.78882497945767,22.0,24.0,10.84634346754314,9.942481511914544,64.0,66.0,46.425636811832376,41.166803615447826
13,1,46.56187290969899,16.0,12.0,8.612040133779264,9.949832775919733,66.0,66.0,35.03344481605351,28.010033444816052
13,2,71.54957507082153,24.0,20.0,14.51841359773371,13.031161473087819,72.0,70.0,64.23512747875354,52.69121813031161
