round,client_id,domain_idx,rsum_i,n_fold_i2t_r1,n_fold_t2i_r1,i2t_r1,t2i_r1,n_fold_i2t_r5,n_fold_t2i_r5,i2t_r5,t2i_r5
2,10,0,53.87064595865837,11.275720164609053,19.012345679012345,9.449465899753493,14.133114215283484,39.83539094650206,56.70781893004115,40.509449465899756,43.960558751027115
2,10,1,57.2155441429591,9.9581589958159,19.8326359832636,9.949832775919733,17.474916387959865,33.72384937238494,59.6652719665272,10.451505016722408,52.0066889632107
2,10,2,70.38022622707089,13.404255319148936,25.035460992907797,13.031161473087819,18.909348441926344,16.099290780141843,65.95744680851064,14.943342776203966,60.906515580736546
2,10,3,74.03250727996672,11.549295774647888,25.563380281690137,10.90014064697609,26.019690576652604,33.80281690140845,62.74647887323944,26.441631504922643,63.22081575246132
2,10,4,47.8321036889332,11.9,13.3,13.260219341974079,9.371884346959122,38.6,51.1,47.357926221335994,42.671984047856434
2,11,0,53.87064595865837,11.275720164609053,19.012345679012345,9.449465899753493,14.133114215283484,39.83539094650206,56.70781893004115,40.509449465899756,43.960558751027115
2,11,1,57.2155441429591,9.9581589958159,19.8326359832636,9.949832775919733,17.474916387959865,33.72384937238494,59.6652719665272,10.451505016722408,52.0066889632107
2,11,2,70.38022622707089,13.404255319148936,25.035460992907797,13.031161473087819,18.909348441926344,16.099290780141843,65.95744680851064,14.943342776203966,60.906515580736546
2,11,3,74.03250727996672,11.549295774647888,25.563380281690137,10.90014064697609,26.019690576652604,33.80281690140845,62.74647887323944,26.441631504922643,63.22081575246132
2,11,4,47.8321036889332,11.9,13.3,13.260219341974079,9.371884346959122,38.6,51.1,47.357926221335994,42.671984047856434
2,12,0,53.87064595865837,11.275720164609053,19.012345679012345,9.449465899753493,14.133114215283484,39.83539094650206,56.70781893004115,40.509449465899756,43.960558751027115
2,12,1,57.2155441429591,9.9581589958159,19.8326359832636,9.949832775919733,17.474916387959865,33.72384937238494,59.6652719665272,10.451505016722408,52.0066889632107
2,12,2,70.38022622707089,13.404255319148936,25.035460992907797,13.031161473087819,18.909348441926344,16.099290780141843,65.95744680851064,14.943342776203966,60.906515580736546
2,12,3,74.03250727996672,11.549295774647888,25.563380281690137,10.90014064697609,26.019690576652604,33.80281690140845,62.74647887323944,26.441631504922643,63.22081575246132
2,12,4,47.8321036889332,11.9,13.3,13.260219341974079,9.371884346959122,38.6,51.1,47.357926221335994,42.671984047856434
2,13,0,53.87064595865837,11.275720164609053,19.012345679012345,9.449465899753493,14.133114215283484,39.83539094650206,56.70781893004115,40.509449465899756,43.960558751027115
2,13,1,57.2155441429591,9.9581589958159,19.8326359832636,9.949832775919733,17.474916387959865,33.72384937238494,59.6652719665272,10.451505016722408,52.0066889632107
2,13,2,70.38022622707089,13.404255319148936,25.035460992907797,13.031161473087819,18.909348441926344,16.099290780141843,65.95744680851064,14.943342776203966,60.906515580736546
2,13,3,74.03250727996672,11.549295774647888,25.563380281690137,10.90014064697609,26.019690576652604,33.80281690140845,62.74647887323944,26.441631504922643,63.22081575246132
2,13,4,47.8321036889332,11.9,13.3,13.260219341974079,9.371884346959122,38.6,51.1,47.357926221335994,42.671984047856434
2,14,0,53.87064595865837,11.275720164609053,19.012345679012345,9.449465899753493,14.133114215283484,39.83539094650206,56.70781893004115,40.509449465899756,43.960558751027115
2,14,1,57.2155441429591,9.9581589958159,19.8326359832636,9.949832775919733,17.474916387959865,33.72384937238494,59.6652719665272,10.451505016722408,52.0066889632107
2,14,2,70.38022622707089,13.404255319148936,25.035460992907797,13.031161473087819,18.909348441926344,16.099290780141843,65.95744680851064,14.943342776203966,60.906515580736546
2,14,3,74.03250727996672,11.549295774647888,25.563380281690137,10.90014064697609,26.019690576652604,33.80281690140845,62.74647887323944,26.441631504922643,63.22081575246132
2,14,4,47.8321036889332,11.9,13.3,13.260219341974079,9.371884346959122,38.6,51.1,47.357926221335994,42.671984047856434
3,10,0,50.580087985365076,10.946502057613168,17.037037037037035,9.449465899753493,13.14708299096138,38.51851851851852,56.13168724279835,39.769926047658174,41.33114215283484
3,10,1,60.56100530359217,10.0418410041841,20.920502092050206,9.949832775919733,19.648829431438127,33.13807531380753,60.58577405857741,10.785953177257525,52.591973244147155
3,10,2,75.83599541920319,13.546099290780143,26.666666666666664,13.031161473087819,22.592067988668557,16.241134751773053,69.14893617021276,15.36827195467422,61.04815864022663
3,10,3,71.21927061666766,11.408450704225352,25.492957746478872,10.759493670886076,23.558368495077357,33.45070422535211,63.38028169014084,25.668073136427566,63.78340365682138
3,10,4,45.94107676969093,11.9,14.4,9.571286141575275,10.069790628115653,38.7,49.3,47.557328015952145,41.9740777666999
3,11,0,50.580087985365076,10.946502057613168,17.037037037037035,9.449465899753493,13.14708299096138,38.51851851851852,56.13168724279835,39.769926047658174,41.33114215283484
3,11,1,60.56100530359217,10.0418410041841,20.920502092050206,9.949832775919733,19.648829431438127,33.13807531380753,60.58577405857741,10.785953177257525,52.591973244147155
3,11,2,75.83599541920319,13.546099290780143,26.666666666666664,13.031161473087819,22.592067988668557,16.241134751773053,69.14893617021276,15.36827195467422,61.04815864022663
3,11,3,71.21927061666766,11.408450704225352,25.492957746478872,10.759493670886076,23.558368495077357,33.45070422535211,63.38028169014084,25.668073136427566,63.78340365682138
3,11,4,45.94107676969093,11.9,14.4,9.571286141575275,10.069790628115653,38.7,49.3,47.557328015952145,41.9740777666999
3,12,0,50.580087985365076,10.946502057613168,17.037037037037035,9.449465899753493,13.14708299096138,38.51851851851852,56.13168724279835,39.769926047658174,41.33114215283484
3,12,1,60.56100530359217,10.0418410041841,20.920502092050206,9.949832775919733,19.648829431438127,33.13807531380753,60.58577405857741,10.785953177257525,52.591973244147155
