round,domain_idx,rsum_i,n_fold_i2t_r1,n_fold_t2i_r1,i2t_r1,t2i_r1,n_fold_i2t_r5,n_fold_t2i_r5,i2t_r5,t2i_r5
13,0,162.04108463434676,54.0,58.0,27.855382087099425,22.18570254724733,96.0,94.0,68.77567789646672,64.99589153656532
13,1,146.67558528428094,46.0,48.0,25.25083612040134,27.4247491638796,88.0,92.0,57.69230769230769,65.88628762541806
13,2,122.75637393767704,44.0,42.0,20.892351274787536,15.864022662889518,82.0,92.0,49.29178470254958,55.94900849858357
13,3,181.57805907172997,68.0,64.0,21.448663853727144,28.129395218002813,94.0,98.0,57.17299578059072,65.61181434599156
13,4,139.05882352941177,50.0,42.0,23.62911266201396,23.429710867397805,86.0,86.0,53.14057826520439,61.3160518444666
14,0,177.29991783073132,58.0,64.0,25.718981101068202,29.580936729663105,96.0,94.0,67.46096959737058,71.89811010682006
14,1,167.12709030100334,56.0,48.0,31.354515050167223,31.77257525083612,96.0,96.0,65.96989966555184,69.89966555183946
14,2,109.78186968838527,32.0,44.0,18.48441926345609,15.297450424929178,88.0,88.0,50.70821529745042,46.03399433427762
14,3,177.8902953586498,66.0,64.0,21.940928270042193,25.949367088607595,92.0,96.0,56.118143459915615,63.85372714486638
14,4,135.86839481555333,44.0,48.0,20.23928215353938,23.62911266201396,90.0,86.0,57.02891326021934,65.20438683948156
15,0,177.05505341002464,60.0,68.0,23.171733771569432,25.883319638455216,94.0,92.0,65.07806080525883,64.42070665571076
15,1,164.36789297658862,48.0,56.0,23.578595317725753,36.78929765886288,92.0,98.0,61.20401337792642,75.66889632107024
15,2,90.52407932011332,30.0,30.0,17.91784702549575,12.606232294617564,92.0,84.0,50.920679886685555,44.61756373937677
15,3,165.9831223628692,64.0,60.0,20.81575246132208,21.167369901547115,88.0,90.0,54.85232067510549,60.970464135021096
15,4,131.76869391824528,50.0,38.0,23.62911266201396,20.139581256231306,88.0,82.0,55.43369890329013,56.63010967098704
16,0,173.2177485620378,56.0,62.0,26.29416598192276,28.92358258011504,94.0,98.0,63.023829087921115,67.29663105998357
16,1,164.61872909698997,50.0,54.0,28.093645484949832,32.525083612040135,96.0,96.0,66.63879598662207,71.07023411371237
16,2,129.32577903682719,46.0,38.0,20.467422096317282,24.858356940509914,88.0,92.0,47.6628895184136,57.577903682719544
16,3,154.27285513361463,52.0,56.0,19.90154711673699,26.371308016877638,92.0,96.0,55.48523206751055,67.72151898734177
16,4,127.76869391824526,48.0,36.0,21.136590229312063,22.6321036889332,84.0,86.0,53.83848454636092,63.808574277168496
17,0,179.16351684470007,70.0,56.0,25.80115036976171,27.362366474938373,96.0,94.0,69.51520131470829,65.48890714872638
17,1,169.37123745819397,54.0,54.0,29.933110367892976,31.438127090301002,98.0,94.0,67.64214046822742,71.15384615384616
17,2,113.96033994334277,36.0,40.0,24.71671388101983,13.243626062322946,90.0,90.0,46.60056657223796,51.69971671388102
17,3,169.74120956399437,64.0,62.0,20.534458509142052,23.206751054852322,88.0,96.0,55.20393811533052,67.15893108298171
17,4,154.35493519441673,58.0,48.0,23.33000997008973,25.02492522432702,84.0,92.0,55.33399800598205,60.518444666002
18,0,180.1495480690222,62.0,64.0,27.691043549712408,26.458504519309777,96.0,92.0,67.46096959737058,67.13229252259654
18,1,178.11705685618728,60.0,58.0,30.267558528428093,29.849498327759196,96.0,94.0,67.55852842809365,72.5752508361204
18,2,102.64872521246458,30.0,40.0,16.359773371104815,16.288951841359772,84.0,86.0,44.19263456090651,50.212464589235125
18,3,168.9057665260197,68.0,54.0,22.362869198312236,24.542897327707454,88.0,98.0,56.46976090014065,66.17440225035162
18,4,140.96510468594218,52.0,44.0,23.33000997008973,21.635094715852443,88.0,92.0,56.23130608175474,60.219341974077764
19,0,181.79293344289235,58.0,68.0,25.883319638455216,29.90961380443714,96.0,96.0,65.57107641741989,69.51520131470829
19,1,167.94983277591973,50.0,58.0,26.923076923076923,33.02675585284281,98.0,98.0,63.12709030100334,72.82608695652173
19,2,93.69121813031163,28.0,38.0,14.80169971671388,12.889518413597735,88.0,86.0,44.54674220963173,46.52974504249292
19,3,170.9845288326301,60.0,60.0,23.90998593530239,27.074542897327706,92.0,100.0,58.50914205344585,67.29957805907173
19,4,135.2582253240279,44.0,44.0,24.127617148554336,23.13060817547358,90.0,88.0,57.02891326021934,61.51545363908275
